time,open,high,low,close,volume
2006/08/10 00:00:00:000000,45.9,47.7,45.8,46.6,10896000.0
2006/08/11 00:00:00:000000,47.2,47.2,46.3,46.4,1990000.0
2006/08/14 00:00:00:000000,46.4,46.65,45.35,45.5,4317000.0
2006/08/15 00:00:00:000000,46.0,46.2,45.95,46.05,1731000.0
2006/08/16 00:00:00:000000,46.65,47.2,46.5,46.9,5057000.0
2006/08/17 00:00:00:000000,47.6,48.15,47.35,47.9,6696000.0
2006/08/18 00:00:00:000000,48.0,49.8,47.9,49.0,8972000.0
2006/08/21 00:00:00:000000,48.45,48.5,47.05,47.1,5783000.0
2006/08/22 00:00:00:000000,47.1,47.25,46.8,47.0,2654000.0
2006/08/23 00:00:00:000000,47.5,47.85,46.55,47.0,5788000.0
2006/08/24 00:00:00:000000,47.5,47.5,46.6,46.75,2314000.0
2006/08/25 00:00:00:000000,46.75,47.2,46.1,46.3,1656000.0
2006/08/28 00:00:00:000000,45.9,46.3,43.1,43.15,12618000.0
2006/08/29 00:00:00:000000,43.9,43.9,43.1,43.35,4709000.0
2006/08/30 00:00:00:000000,43.8,44.8,43.5,44.8,4692000.0
2006/08/31 00:00:00:000000,45.75,47.9,45.1,47.2,12445000.0
2006/09/01 00:00:00:000000,45.8,47.5,45.8,47.5,5228000.0
2006/09/04 00:00:00:000000,48.75,49.5,48.0,48.95,9051000.0
2006/09/05 00:00:00:000000,49.0,49.2,48.05,49.0,4996000.0
2006/09/06 00:00:00:000000,48.8,49.5,48.5,49.0,5836000.0
2006/09/07 00:00:00:000000,48.7,48.7,48.3,48.45,4716000.0
2006/09/08 00:00:00:000000,48.1,49.3,48.05,48.6,3141000.0
2006/09/11 00:00:00:000000,48.3,49.95,48.05,48.6,5390000.0
2006/09/12 00:00:00:000000,48.6,49.4,48.6,49.15,5337000.0
2006/09/13 00:00:00:000000,49.3,49.8,49.3,49.5,3602000.0
2006/09/14 00:00:00:000000,49.5,49.7,48.1,48.9,2135000.0
2006/09/15 00:00:00:000000,48.7,49.3,48.5,49.2,2659000.0
2006/09/18 00:00:00:000000,50.0,51.2,49.9,51.2,6403000.0
2006/09/19 00:00:00:000000,51.0,51.0,50.1,50.2,2460000.0
2006/09/20 00:00:00:000000,50.0,50.4,49.8,50.4,2711000.0
2006/09/21 00:00:00:000000,50.8,51.0,49.9,50.0,3085000.0
2006/09/22 00:00:00:000000,49.8,50.0,49.45,50.0,2448000.0
2006/09/25 00:00:00:000000,49.1,50.2,49.1,50.0,978000.0
2006/09/26 00:00:00:000000,50.0,50.4,49.4,49.5,3538000.0
2006/09/27 00:00:00:000000,50.0,50.3,49.2,49.4,6479000.0
2006/09/28 00:00:00:000000,48.6,49.4,47.3,48.0,15244000.0
2006/09/29 00:00:00:000000,47.25,47.75,47.15,47.4,7745000.0
2006/10/02 00:00:00:000000,47.0,49.3,46.0,48.5,18062000.0
2006/10/03 00:00:00:000000,48.5,51.8,48.5,51.8,39675000.0
2006/10/04 00:00:00:000000,51.4,51.6,50.4,51.1,17260000.0
2006/10/05 00:00:00:000000,51.6,54.5,51.5,54.1,31829000.0
2006/10/11 00:00:00:000000,53.3,54.3,51.0,52.5,16681000.0
2006/10/12 00:00:00:000000,52.6,53.8,52.0,53.3,12839000.0
2006/10/13 00:00:00:000000,53.9,54.1,52.8,52.8,11987000.0
2006/10/16 00:00:00:000000,53.0,53.6,53.0,53.3,4565000.0
2006/10/17 00:00:00:000000,53.3,54.0,53.3,53.4,6552000.0
2006/10/18 00:00:00:000000,53.3,53.3,50.0,52.0,15522000.0
2006/10/19 00:00:00:000000,51.3,51.8,50.0,50.5,12093000.0
2006/10/20 00:00:00:000000,51.0,54.0,50.2,52.9,14925000.0
2006/10/23 00:00:00:000000,53.0,53.3,51.8,52.6,6942000.0
2006/10/24 00:00:00:000000,53.0,53.0,51.5,51.5,5147000.0
2006/10/25 00:00:00:000000,51.5,52.0,50.9,51.0,3669000.0
2006/10/26 00:00:00:000000,50.8,51.5,50.4,51.0,8819000.0
2006/10/27 00:00:00:000000,51.4,51.7,50.5,50.5,4096000.0
2006/10/30 00:00:00:000000,50.0,50.0,49.0,49.2,6252000.0
2006/10/31 00:00:00:000000,49.2,49.55,49.0,49.3,4831000.0
2006/11/01 00:00:00:000000,49.95,51.1,49.8,50.3,11052000.0
2006/11/02 00:00:00:000000,50.2,50.7,49.85,50.6,6033000.0
2006/11/03 00:00:00:000000,50.7,52.6,50.6,51.9,13864000.0
2006/11/06 00:00:00:000000,51.4,52.4,51.4,51.8,9568000.0
2006/11/07 00:00:00:000000,52.4,53.1,52.4,53.0,7980000.0
2006/11/08 00:00:00:000000,53.5,53.7,52.7,52.9,4970000.0
2006/11/09 00:00:00:000000,52.9,53.0,50.9,51.6,5616000.0
2006/11/10 00:00:00:000000,52.2,52.3,51.2,51.8,6349000.0
2006/11/13 00:00:00:000000,51.8,52.3,51.7,51.9,4269000.0
2006/11/14 00:00:00:000000,52.3,53.5,52.3,53.2,9565000.0
2006/11/15 00:00:00:000000,53.3,53.5,52.8,53.3,5542000.0
2006/11/16 00:00:00:000000,53.3,53.9,52.6,53.8,7495000.0
2006/11/17 00:00:00:000000,53.8,55.4,53.8,54.9,23892000.0
2006/11/20 00:00:00:000000,54.9,54.9,53.7,53.8,8814000.0
2006/11/21 00:00:00:000000,53.8,55.3,53.8,55.2,14244000.0
2006/11/22 00:00:00:000000,55.3,56.2,54.6,56.2,14023000.0
2006/11/23 00:00:00:000000,56.3,58.3,56.3,58.3,18565000.0
2006/11/24 00:00:00:000000,58.4,59.0,57.2,58.8,11610000.0
2006/11/27 00:00:00:000000,59.0,59.1,57.4,57.8,11958000.0
2006/11/28 00:00:00:000000,57.1,57.4,56.1,56.5,5506000.0
2006/11/29 00:00:00:000000,56.9,57.1,54.8,55.5,12599000.0
2006/11/30 00:00:00:000000,56.9,56.9,55.7,56.4,6046000.0
2006/12/01 00:00:00:000000,56.4,57.8,55.9,57.5,8305000.0
2006/12/04 00:00:00:000000,57.5,58.3,56.7,57.9,5978000.0
2006/12/05 00:00:00:000000,58.5,58.8,57.9,58.3,9297000.0
2006/12/06 00:00:00:000000,57.5,58.2,56.7,57.3,5095000.0
2006/12/07 00:00:00:000000,57.0,57.3,56.4,57.0,4574000.0
2006/12/08 00:00:00:000000,56.5,56.5,54.0,55.2,10080000.0
2006/12/11 00:00:00:000000,55.2,55.5,53.9,54.5,7505000.0
2006/12/12 00:00:00:000000,54.5,54.5,53.7,53.7,3868000.0
2006/12/13 00:00:00:000000,53.8,54.5,53.4,54.2,5146000.0
2006/12/14 00:00:00:000000,54.2,54.6,53.9,54.0,5284000.0
2006/12/15 00:00:00:000000,54.8,55.4,54.3,55.2,4543000.0
2006/12/18 00:00:00:000000,55.7,56.0,54.8,55.2,5115000.0
2006/12/19 00:00:00:000000,54.9,56.3,54.6,55.5,4467000.0
2006/12/20 00:00:00:000000,55.9,56.3,55.5,55.8,2806000.0
2006/12/21 00:00:00:000000,55.2,59.0,55.2,57.5,15543000.0
2006/12/22 00:00:00:000000,58.4,58.4,56.6,56.6,5007000.0
2006/12/25 00:00:00:000000,56.6,58.2,56.6,57.1,4894000.0
2006/12/26 00:00:00:000000,58.2,59.3,57.6,58.6,15429000.0
2006/12/27 00:00:00:000000,59.0,59.2,58.1,58.1,5862574.0
2006/12/28 00:00:00:000000,58.3,58.9,58.1,58.3,5240000.0
2006/12/29 00:00:00:000000,58.3,61.9,58.3,59.1,25863000.0
2007/01/02 00:00:00:000000,59.6,59.9,58.4,58.7,9496000.0
2007/01/03 00:00:00:000000,58.7,58.9,56.8,56.9,17130000.0
2007/01/04 00:00:00:000000,56.8,58.3,56.5,58.3,7088000.0
2007/01/05 00:00:00:000000,58.2,58.4,56.8,56.8,10121000.0
2007/01/08 00:00:00:000000,56.5,56.5,55.5,55.8,7793000.0
2007/01/09 00:00:00:000000,55.8,56.4,55.7,55.9,5109000.0
2007/01/10 00:00:00:000000,55.4,57.4,54.9,57.2,11819000.0
2007/01/11 00:00:00:000000,57.0,57.0,55.0,55.5,6429000.0
2007/01/12 00:00:00:000000,57.0,57.6,56.4,57.2,16043000.0
2007/01/15 00:00:00:000000,57.5,58.0,56.7,56.8,9953000.0
2007/01/16 00:00:00:000000,56.7,57.6,56.5,57.0,7336000.0
2007/01/17 00:00:00:000000,56.6,57.0,56.4,56.7,4774000.0
2007/01/18 00:00:00:000000,56.7,57.8,56.6,57.5,7735000.0
2007/01/19 00:00:00:000000,57.5,57.8,57.2,57.2,4480000.0
2007/01/22 00:00:00:000000,57.0,57.0,55.9,56.4,4995000.0
2007/01/23 00:00:00:000000,56.2,56.4,55.5,55.7,5818000.0
2007/01/24 00:00:00:000000,56.6,56.9,56.4,56.9,4029000.0
2007/01/25 00:00:00:000000,56.8,57.7,56.6,57.6,7705000.0
2007/01/26 00:00:00:000000,56.6,57.7,56.5,56.6,3173000.0
2007/01/29 00:00:00:000000,56.4,56.9,55.9,55.9,3706000.0
2007/01/30 00:00:00:000000,55.9,56.3,55.6,55.9,3374000.0
2007/01/31 00:00:00:000000,56.3,56.5,54.6,55.6,7281000.0
2007/02/01 00:00:00:000000,56.5,56.6,55.3,55.4,3905000.0
